Lipid ID	Lipid name	GO ID	GO term	Taxon ID	Taxon scientific name	Evidence tag ID
SLM:000057219	Phosphatidylethanolamine (40:6)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7245
SLM:000057220	Phosphatidylethanolamine (40:7)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7240
SLM:000057220	Phosphatidylethanolamine (40:7)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7241 | 10872
SLM:000057220	Phosphatidylethanolamine (40:7)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7242
SLM:000057221	Phosphatidylethanolamine (40:8)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10871
SLM:000057231	Phosphatidylethanolamine (42:1)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7584
SLM:000057236	Phosphatidylethanolamine (42:4)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7585
SLM:000057241	Phosphatidylethanolamine (42:9)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7586
SLM:000057488	Phosphatidylethanolamine (O-30:1)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7603
SLM:000057489	Phosphatidylethanolamine (O-30:2)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7587
SLM:000057498	Phosphatidylethanolamine (O-32:1)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7588
SLM:000057511	Phosphatidylethanolamine (O-34:1)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10811
SLM:000057512	Phosphatidylethanolamine (O-34:2)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7590
SLM:000057512	Phosphatidylethanolamine (O-34:2)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10810
SLM:000057513	Phosphatidylethanolamine (O-34:3)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10809
SLM:000057520	Phosphatidylethanolamine (O-35:3)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10812
SLM:000057526	Phosphatidylethanolamine (O-36:1)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10818
SLM:000057527	Phosphatidylethanolamine (O-36:2)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10817
SLM:000057528	Phosphatidylethanolamine (O-36:3)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7546
SLM:000057528	Phosphatidylethanolamine (O-36:3)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10816
